post_title	post_name	sku	parent_sku	children	stock	regular_price	sold_individually	tax_status	product_url	images	product_page_url
"K143 Street 20x1.375 (37-451)"	k143-street-20x1-375-37-451	K25202014314				15.000000	no	taxable		"https://49b.pfcd.ca/wp-content/uploads/2024/04/K143.jpg ! alt :  ! title : K143 ! desc :  ! caption : "	https://49b.pfcd.ca/product/k143-street-20x1-375-37-451/
"Aeroflex 20x1.375 (451)"	aeroflex-20x1-375-451	2TY0063AAB				40.000000	no	taxable		"https://49b.pfcd.ca/wp-content/uploads/2024/04/aeroflex.jpg ! alt :  ! title : aeroflex ! desc :  ! caption : "	https://49b.pfcd.ca/product/aeroflex-20x1-375-451/
"HS387 Right Run 22x1.0 (25-489)"	hs387-right-run-22x1-0-25-489	SNA10275387				25.000000	no	taxable		"https://49b.pfcd.ca/wp-content/uploads/2024/04/HS387_RightRun.jpg ! alt :  ! title : HS387_RightRun ! desc :  ! caption : "	https://49b.pfcd.ca/product/hs387-right-run-22x1-0-25-489/
"HS440 Marathon Plus Evolution Reflex 22x1.0 (25-489)"	hs440-marathon-plus-evolution-reflex-22x1-0-25-489	SNA10275440				75.000000	no	taxable		"https://49b.pfcd.ca/wp-content/uploads/2024/04/HS440.jpg ! alt :  ! title : HS440 ! desc :  ! caption : "	https://49b.pfcd.ca/product/hs440-marathon-plus-evolution-reflex-22x1-0-25-489/
"HS464 Durano - Black 24x0.90 (23-520)"	hs464-durano-black-24x0-90-23-520	SNA11600685				70.000000	no	taxable		"https://49b.pfcd.ca/wp-content/uploads/2024/04/HS464_Durano.jpg ! alt :  ! title : HS464_Durano ! desc :  ! caption : "	https://49b.pfcd.ca/product/hs464-durano-black-24x0-90-23-520/
"K62 Street 24x1.25 (37-547)"	k62-street-24x1-25-37-547	K25247006217				20.000000	no	taxable		"https://49b.pfcd.ca/wp-content/uploads/2024/04/K62.jpg ! alt :  ! title : K62 ! desc :  ! caption : "	https://49b.pfcd.ca/product/k62-street-24x1-25-37-547/
"K1051 Konstrictor 25x1.0 (23-559)"	k1051-konstrictor-25x1-0-23-559	K2525105185				30.000000	no	taxable		"https://49b.pfcd.ca/wp-content/uploads/2024/04/K10515.jpg ! alt :  ! title : K10515 ! desc :  ! caption : "	https://49b.pfcd.ca/product/k1051-konstrictor-25x1-0-23-559/
"K1044 Kool Bullet 25x1.0 (25-559)"	k1044-kool-bullet-25x1-0-25-559	K25250110411				30.000000	no	taxable		"https://49b.pfcd.ca/wp-content/uploads/2024/04/k1044_200x200.jpg ! alt :  ! title : k1044_200x200 ! desc :  ! caption : "	https://49b.pfcd.ca/product/k1044-kool-bullet-25x1-0-25-559/
"HS343 SpeedAir 25x0.75 (20-559)"	hs343-speedair-25x0-75-20-559	SNA10231353.01				71.000000	no	taxable		"https://49b.pfcd.ca/wp-content/uploads/2023/12/HS343_SpeedAir_white.jpg ! alt :  ! title : HS343_SpeedAir_white.jpg ! desc :  ! caption : "	https://49b.pfcd.ca/product/hs343-speedair-25x0-75-20-559/
"HS387 Right Run 25x1.0 (23-559)"	hs387-right-run-25x1-0-23-559	SNA10283687				25.000000	no	taxable		"https://49b.pfcd.ca/wp-content/uploads/2024/04/HS387_RightRun.jpg ! alt :  ! title : HS387_RightRun ! desc :  ! caption : "	https://49b.pfcd.ca/product/hs387-right-run-25x1-0-23-559/
"HS349 Quick Slick 25x1.0 (25-559)"	hs349-quick-slick-25x1-0-25-559	SNA10231349				23.000000	no	taxable		"https://49b.pfcd.ca/wp-content/uploads/2024/04/HS349_QuickSlick7.jpg ! alt :  ! title : HS349_QuickSlick7 ! desc :  ! caption : "	https://49b.pfcd.ca/product/hs349-quick-slick-25x1-0-25-559/
"HS344 Home Run 25x1.0 (25-559)"	hs344-home-run-25x1-0-25-559	SNA10231644				28.000000	no	taxable		"https://49b.pfcd.ca/wp-content/uploads/2024/04/hs344.jpg ! alt :  ! title : hs344 ! desc :  ! caption : "	https://49b.pfcd.ca/product/hs344-home-run-25x1-0-25-559/
"HS464 Durano 25x1.10 (28-559)"	hs464-durano-25x1-10-28-559	SNA11600686				70.000000	no	taxable		"https://49b.pfcd.ca/wp-content/uploads/2024/04/HS464_Durano.jpg ! alt :  ! title : HS464_Durano ! desc :  ! caption : "	https://49b.pfcd.ca/product/hs464-durano-25x1-10-28-559/
"HS408 Airborne 25x1.2 (30-559)"	hs408-airborne-25x1-2-30-559	SNA11641408				106.000000	no	taxable		"https://49b.pfcd.ca/wp-content/uploads/2024/04/HS408_Airborne.jpg ! alt :  ! title : HS408_Airborne ! desc :  ! caption : "	https://49b.pfcd.ca/product/hs408-airborne-25x1-2-30-559/
"C1195 Passage 25x1.0 (25-559)"	c1195-passage-25x1-0-25-559	2TY056				60.000000	no	taxable		"https://49b.pfcd.ca/wp-content/uploads/2024/04/passage.jpg ! alt :  ! title : passage ! desc :  ! caption : "	https://49b.pfcd.ca/product/c1195-passage-25x1-0-25-559/
"C1836 Sentinel 25x1.0 (25-559)"	c1836-sentinel-25x1-0-25-559	2TY057				60.000000	no	taxable		"https://49b.pfcd.ca/wp-content/uploads/2024/04/sentinel.jpg ! alt :  ! title : sentinel ! desc :  ! caption : "	https://49b.pfcd.ca/product/c1836-sentinel-25x1-0-25-559/
"C1191 Silver Bullet 25x1.0 (25-559)"	c1191-silver-bullet-25x1-0-25-559	2TY130				60.000000	no	taxable		"https://49b.pfcd.ca/wp-content/uploads/2024/04/C1191-side.jpg ! alt :  ! title : C1191-side ! desc :  ! caption : "	https://49b.pfcd.ca/product/c1191-silver-bullet-25x1-0-25-559/
"MS3 25 (25-559)"	ms3-25-25-559	2TY645				125.000000	no	taxable		"https://49b.pfcd.ca/wp-content/uploads/2024/04/WS-3.jpg ! alt :  ! title : WS-3 ! desc :  ! caption : "	https://49b.pfcd.ca/product/ms3-25-25-559/
"HS440 Marathon Plus Reflex 26x1.35 (35-559)"	hs440-marathon-plus-reflex-26x1-35-35-559	SNA11100760				99.000000	no	taxable		"https://49b.pfcd.ca/wp-content/uploads/2024/04/HS440.jpg ! alt :  ! title : HS440 ! desc :  ! caption : "	https://49b.pfcd.ca/product/hs440-marathon-plus-reflex-26x1-35-35-559/
"HS396 Marathon Winter Reflex - Stud 26x1.75 (47-559)"	hs396-marathon-winter-reflex-stud-26x1-75-47-559	SNA11100599.01				75.000000	no	taxable		"https://49b.pfcd.ca/wp-content/uploads/2024/04/SNA11100599.01.png ! alt :  ! title : SNA11100599.01 ! desc :  ! caption : "	https://49b.pfcd.ca/product/hs396-marathon-winter-reflex-stud-26x1-75-47-559/
"K1224 Paradigm 25x1 (25-559) - Black"	k1224-paradigm-25x1-25-559-black	K25251224171				65.000000	no	taxable		"https://49b.pfcd.ca/wp-content/uploads/2024/04/K1224.png ! alt :  ! title : K1224 ! desc :  ! caption : "	https://49b.pfcd.ca/product/k1224-paradigm-25x1-25-559-black/
"K816 Smoke 26x2.10 (54-559) - Gy"	k816-smoke-26x2-10-54-559-gy	K01265381614				20.000000	no	taxable		"https://49b.pfcd.ca/wp-content/uploads/2023/12/noimage-1.gif ! alt :  ! title : noimage ! desc :  ! caption : "	https://49b.pfcd.ca/product/k816-smoke-26x2-10-54-559-gy/
