product_name,product_sku,virtuemart_product_id,category_name,picture_url,product_discount,product_in_stock,product_price,product_sales,salesprice,taxamount,,
24'' Equalizer J Bend c/w Nipple - Silver,2SP163,405,,/images/stories/virtuemart/product/noimage.gif,,,3,,3,0,,
25'' Equalizer J Bend c/w Nipple - Black,2SP165,406,,/images/stories/virtuemart/product/2SP209.jpg,,,3,,3,0,,
25'' Equalizer J Bend c/w Nipple - Silver,2SP166,407,,/images/stories/virtuemart/product/noimage.gif,,,3,,3,0,,
26'' Equalizer J Bend c/w Nipple - Black,2SP168,408,,/images/stories/virtuemart/product/2SP209.jpg,,,3,,3,0,,
26'' Equalizer J Bend c/w Nipple - Silver,2SP169,409,,/images/stories/virtuemart/product/noimage.gif,,,3,,3,0,,
22'' Daily Spox c/w Nipple - Black,511004-8.75BK,411,,/images/stories/virtuemart/product/511004-875BK.jpg,,,12,,12,0,,
Daily Spox c/w Nipple,511004-9.50BK,412,Spokes,/images/stories/virtuemart/product/511004-875BK.jpg,,,12,,12,0,,
24'' Daily Spox c/w Nipple - Blue,511004-9.50BL,413,,/images/stories/virtuemart/product/511004-875BK.jpg,,,12,,12,0,,
24'' Daily Spox c/w Nipple - Red,511004-9.50RD,414,,/images/stories/virtuemart/product/511004-875BK.jpg,,,12,,12,0,,
24'' Daily Spox c/w Nipple - White,511004-9.50WH,415,,/images/stories/virtuemart/product/511004-875BK.jpg,,,12,,12,0,,
24'' Daily Spox c/w Nipple - Yellow,511004-9.50YL,416,,/images/stories/virtuemart/product/511004-875BK.jpg,,,12,,12,0,,
25'' Daily Spox c/w Nipple - Black,511004-9.84BK,417,,/images/stories/virtuemart/product/511004-875BK.jpg,,,12,,12,0,,
25'' Daily Spox c/w Nipple - Blue,511004-9.84BL,418,,/images/stories/virtuemart/product/511004-875BK.jpg,,,12,,12,0,,
25'' Daily Spox c/w Nipple - Red,511004-9.84RD,419,,/images/stories/virtuemart/product/511004-875BK.jpg,,,12,,12,0,,
